filename,Artistic Categories,Total aesthetic score,Theme and logic,Creativity,Layout and composition,Space and perspective,The sense of order,Light and shadow,Color,Details and texture,The overall,Mood,Language Comment
0000d0cd38984fffb2c04f964edc9c88.png,traditional Chinese painting*meticulous*mountains and water,65.83,7.17,,6,5.83,6,6.17,5.67,6.5,6.5,6.67,"The composition of the picture is rigid and lacks variation, with insufficient levels of distant, medium, and close shots, and insufficient color levels. The strokes used in the picture are very regular, and the colors are also very regular, creating a strong sense of artistic conception."
000ce20bcec24f29815a9496bf314c11.jpg,sketching*classicism*still life,60.71,5.71,,6.71,6.43,5.71,5.71,,5.14,5.86,6,"Each side of the picture is good, making it a great landscape painting. The brushstrokes are skilled, and the visual effect is realistic"
000d472bde3c4f4c8dc9f66fede4d463.jpg,oil painting*romanticism*landscapes,65,6.2,5.6,6.2,,6.8,,6.6,6.4,6.6,6.4,
00122f4a71a847a4b076756dbbf7b349.jpg,oil painting*symbolism*still life,82.86,8.29,,8.29,8.57,8,8.29,8.29,8.14,8.14,8.57,
00148cf2d7134849872279e21131540c.png,traditional Chinese painting*meticulous*mountains and water,66.67,7.67,,6.67,7,6.67,7.17,7,7,6.67,6.17,"The composition is full, the details are rich, the color tone is stable but not ostentatious, the spatial sense is layered, the brushstrokes are very regular, the colors are also very standard, and the artistic conception is very strong."
00165fa1d0024790a045b6f9ab70b437.jpg,sketching*romanticism*landscapes,43.57,4.57,4.57,4.57,,4.43,,,4,4.14,4.86,"The composition layout is relatively simple, with a single black and white hierarchy, unclear themes, and missing details"
00198db9f255457c8b5ab48946e560a4.jpg,sketching*romanticism*landscapes,70.83,6.67,7.67,6.5,,6.5,,,5.67,6.67,7,
00213a0154d24b53a8e530d1dd7db4e4.jpg,sketching*romanticism*portraiture,75,7.5,6.67,6.67,,6.67,,,6,7.5,,
00287c75eace42148fd7d2845e7aa677.jpg,oil painting*classicism*still life,70,6.17,,7,5.83,6.17,6.5,6.33,6.67,6.17,6,
0039354cc3754ce583c26aa9efda6e1e.png,traditional Chinese painting*meticulous*mountains and water,35.71,4.57,,3.71,3.43,3.86,3.57,3.71,3.57,3.57,3.43,
003b1e207ec24dc2a2719d3d53480789.jpg,traditional Chinese painting*meticulous*portraiture,72.86,,,7,7.14,,6.86,7.29,7.29,7.29,,"The brushstrokes on the screen are very regular, and the colors are also very standard, creating a strong sense of artistic conception."
00404f751d8f48fcb025d3cb2754c2aa.jpg,sketching*symbolism*landscapes,80.71,7.43,,7.71,7.71,7,7.57,,7.71,7.86,7.71,
0044a8d3cec349edb3fe7494aaee545b.jpg,oil painting*romanticism*still life,61.88,6,6.12,6.12,,5.88,,6,5.62,5.88,6,"The composition is relatively complete, the main subject is prominent, the colors are rich, and the details are well handled. The painter used rich colors to create a vivid and layered image"
0049464eda82482686568a3d44bb4c66.jpg,traditional Chinese painting*meticulous*mountains and water,55.83,6.33,,5.67,5.67,5.5,5.67,5.5,5.33,6.33,6.17,"The screen has a stable and unified color tone, with a certain level of ink expression language, reflecting both virtual and real elements. The brushstrokes and colors are very regular, and the artistic conception is very strong."
005177642cb840ac800f07735c8b63ac.jpg,sketching*classicism*still life,77.86,7.29,,6.71,6.71,7.14,7.57,,7.29,8,6,
0052073d499f4ed28dde4f7f61b92f1a.jpg,oil painting*romanticism*portraiture,38.57,3.86,4.14,4.14,,3.86,,4.14,3.86,4.14,,"The overall composition is complete, with good pen touch, poor color matching, and immature depiction techniques."
005da46d2dfc4f4382be11295a16f4fe.jpg,sketching*classicism*landscapes,68.33,6,,6.5,4.67,5.67,6.83,,6.17,6.5,5,
005f50102a7a48409bb1601e2df6a8d3.jpg,sketching*symbolism*still life,70,7.33,,6.67,7.17,6.67,6.17,,6,6.33,5.5,"The composition is slightly plain and lacks visual focus. The contrast between light and dark is not clear enough, and it is necessary to enhance the contrast effect while adding some depth and spatial sense."
0067c46186814b16a01e1b8688859596.jpg,oil painting*classicism*portraiture,76,,,7.8,7.6,,7.4,7.6,7.4,7.6,,
007e8a6cfdd44e22bab8d195b4510c4b.jpg,oil painting*romanticism*landscapes,73,6.6,7.4,6.4,,7.2,,6.8,6.4,7.2,6.6,
0088e3db1a294ac793a9b0b6bf3d7591.jpg,sketching*romanticism*portraiture,67.5,6.83,5.67,5.5,,5.67,,,5.5,6.5,,
008ac4ec4d24443199412c3d3e950104.jpg,sketching*romanticism*portraiture,68.33,6.17,6.33,5.67,,6.67,,,5.33,6,,
008d12af32bc41189a0b56cc46a22347.jpg,sketching*symbolism*portraiture,83.33,,,8,7.5,,8.17,,8.33,7.83,,
0091759b31ed46df8e10e718d4de34ca.jpg,sketching*romanticism*landscapes,50.83,5.67,5.5,5.33,,5.83,,,4.67,4.83,5.17,"The layout of the screen still needs optimization, and the black and white contrast is not prominent enough, resulting in insufficient sense of hierarchy and depth in the picture"
00995e59f0d9471bb3798bb48c2b473d.jpg,traditional Chinese painting*freehand*mountains and water,64.17,6.33,5.67,6.17,,5.5,,5.83,6,6.33,6.17,"A very innovative technique for creating traditional Chinese painting, highlighting the expressions of the characters, making the entire character very lively. Lack of details and demeanor, but lacking creativity"
009d71d46c6a4bbfa0bdbb3236c49b8d.png,oil painting*romanticism*landscapes,34,4.8,3.6,3.2,,4.8,,3.6,3.2,4.6,3.8,
00a27ab0c815479189430968b0f9772a.png,traditional Chinese painting*freehand*mountains and water,75,7.33,7.5,7.83,,7,,7,7,7.5,7.67,"The composition is still okay, the momentum is still strong, but the details are insufficient. The brushstrokes on the screen are very regular, and the colors are also very standard, creating a strong sense of artistic conception."
00a34a5ff5c74ac2953483d271894419.png,traditional Chinese painting*freehand*floral and avian,16.67,2.83,2,2.17,,2.17,,1.83,2,2.33,2.17,
00a79e928eee4bd7baad3a239d9673fd.png,traditional Chinese painting*meticulous*floral and avian,65,6.83,,6.5,6.83,6.33,5.83,5.83,7,6.5,6.5,
00b28fbbf6994a279a1849699147b6af.jpg,oil painting*symbolism*still life,66,6.8,,6.4,6.8,6.6,6.2,6.8,6.4,6.4,6.6,
00b7ec99661b4457a44da42338325978.png,traditional Chinese painting*meticulous*portraiture,65,,,6.67,6.33,,6.33,6.83,6.5,6.67,,"A very innovative technique for creating traditional Chinese painting, highlighting the expressions of the characters, making the entire character very lively."
00b86dc103e445d0b4f6a7d0b9ae6493.png,traditional Chinese painting*meticulous*floral and avian,75,8,,7.83,7.33,7.5,6.5,7.5,8.33,7.33,7,
00c5edd292ad4f06bbfb985732831779.png,traditional Chinese painting*freehand*portraiture,71.67,7.17,7.17,6.67,,6.67,,6.83,7,7.17,,"The characters and calligraphy complement each other very well. The brushstrokes are very similar and there is no conflict. However, the changes on the characters are too few, and some of the rigid images are very delicate. Calligraphy is the finishing touch, and calligraphy and painting complement each other. The elements in the picture are simple, intuitive, and rich."
00cb3639fb9f41eb9a71591898c6bf9a.jpg,sketching*symbolism*landscapes,75.83,7,,7,7,6.5,6.83,,7,7,6.33,
00cd17e56fa14e7f8586e19eae34b047.jpg,sketching*symbolism*portraiture,75.83,,,7,7.17,,7.17,,7,7.67,,
00db94979d5643d3bd1725364c823fa3.jpg,oil painting*classicism*landscapes,85,8.4,,8,8,8.2,8,8.6,8.8,7.8,8.2,
00dcaaa952594d30b8cc3a81183eac94.jpg,oil painting*classicism*still life,47,6.2,,5.4,5.4,6,4.4,5.4,5.4,5.2,5.2,
00e84f1a88f4443080ff6c16728501f8.jpg,sketching*classicism*portraiture,26.67,,,4,3.67,,3.33,,3,3.17,,"The visuals are quite distinctive, but lack specific depictions, and the handling of hair and facial features is somewhat sloppy."
00e98221cce44bc2be1fb3dde9b7fc59.jpg,oil painting*romanticism*landscapes,35,5,4,3.8,,5.4,,4.2,3.6,5,4.8,
00e9e237fc1e437aa848eebb5828ff9d.jpg,oil painting*classicism*portraiture,80.83,,,8.17,7.5,,7.67,7.5,7.67,7,,"The contrast between the characters and the background makes the entire picture more layered, but lacks specific details in shaping it"
00f13cc6f37e4d2ca27d718d01e1178a.jpg,sketching*symbolism*portraiture,42.86,,,4.86,4.57,,3.71,,4,4,,"The characters are not quite aligned, the facial structure is weak, and there is a lack of detailed depiction"
00fea5d9065b48f195576b2829b223db.jpg,sketching*romanticism*portraiture,75,7,7.71,7.14,,6.29,,,7.57,7.14,,"The visual creativity is acceptable, but the drawing and sense of order are insufficient."
0104e1ca4b9d4c38be32c58fd5ad2cb6.jpg,sketching*romanticism*still life,39.29,3.43,4.29,3.71,,3.43,,,3.29,4.14,3.86,"The painting content of this picture is too simple, and it is still acceptable as a children's creative line drawing."
0105b837f8ba4befbd7a019da7adada8.jpg,sketching*romanticism*still life,50.83,4.83,4.5,4,,4,,,4.17,4.33,4.33,
010d29276be146c1bbe885d4779b70bf.jpg,oil painting*classicism*still life,88,8.4,,8.2,8.4,8.6,8.2,8.6,8.4,8.6,9.2,
01264694b90945c897c2f6ec7d32e157.png,traditional Chinese painting*meticulous*floral and avian,73.33,7.5,,7.17,7.17,7,6.83,7,7,7.17,7.17,"The screen lacks contrast between reality and light, the brushstrokes are not gradient enough, the work lacks richness, and the details are not blurred and portrayed enough. The brushstrokes on the screen are very regular, and the colors are also very standard, creating a strong sense of artistic conception."
0133ab7480e94a10850932cf62d98943.jpg,sketching*romanticism*portraiture,21.67,3.33,3,2.83,,3,,,2.67,2.83,,Reviewed
0134c86dfaea414da535f984932e9ef2.jpg,oil painting*romanticism*landscapes,55,6.8,6,6,,6.2,,6.4,5.4,6.6,6.6,
